season;team;offense_completion_percentage;offense_total_yards_gained_pass;offense_total_yards_gained_run;offense_ave_yards_gained_pass;offense_ave_yards_gained_run;offense_total_air_yards;offense_ave_air_yards;offense_total_yac;offense_ave_yac;offense_n_plays_pass;offense_n_plays_run;offense_n_interceptions;offense_n_fumbles_lost_pass;offense_n_fumbles_lost_run;offense_total_epa_pass;offense_total_epa_run;offense_ave_epa_pass;offense_ave_epa_run;offense_total_wpa_pass;offense_total_wpa_run;offense_ave_wpa_pass;offense_ave_wpa_run;offense_success_rate_pass;offense_success_rate_run;defense_completion_percentage;defense_total_yards_gained_pass;defense_total_yards_gained_run;defense_ave_yards_gained_pass;defense_ave_yards_gained_run;defense_total_air_yards;defense_ave_air_yards;defense_total_yac;defense_ave_yac;defense_n_plays_pass;defense_n_plays_run;defense_n_interceptions;defense_n_fumbles_lost_pass;defense_n_fumbles_lost_run;defense_total_epa_pass;defense_total_epa_run;defense_ave_epa_pass;defense_ave_epa_run;defense_total_wpa_pass;defense_total_wpa_run;defense_ave_wpa_pass;defense_ave_wpa_run;defense_success_rate_pass;defense_success_rate_run;points_scored;points_allowed;wins;losses;ties;score_differential
1999;NE;0,511824324;3620;1433;6,114864865;3,547029703;0;NA;0;0;592;404;21;6;5;-43,45443705;-74,11271023;-0,073402765;-0,183447303;-3,085076255;-2,328994891;-0,005211277;-0,005764839;0,408783784;0,314356436;0,523297491;3015;1788;5,403225806;3,788135593;0;NA;0;NA;558;472;16;7;6;-27,96426758;-74,18370414;-0,050115175;-0,157168865;-1,962837208;-2,073981365;-0,003517629;-0,004394028;0,374551971;0,343220339;299;284;8;8;0;15
1999;NO;0,482112436;3279;1668;5,586030664;3,706666667;0;NA;142;4.057142857142857;587;450;26;1;6;-66,30179562;-73,27694077;-0,112950248;-0,162837646;-1,041784301;-2,386356876;-0,00177476;-0,005303015;0,373083475;0,357777778;0,544090056;3510;1738;6,585365854;4,157894737;0;NA;175;5.833333333333334;533;418;19;8;5;13,65050357;-16,84550632;0,025610701;-0,040300254;0,074386886;-0,700654737;0,000139563;-0,001676208;0,429643527;0,435406699;260;434;3;13;0;-174
1999;NYG;0,546875;3734;1386;5,834375;3,323741007;0;NA;0;0;640;417;18;5;7;-21,60879731;-78,18186258;-0,033763746;-0,187486481;-2,538542458;-1,519128612;-0,003966473;-0,003642994;0,4265625;0,321342926;0,540037244;3382;1548;6,297951583;3,550458716;0;NA;0;NA;537;436;17;4;3;15,99953699;-72,95374553;0,029794296;-0,167325104;-1,113577023;-3,240703634;-0,0020737;-0,007432806;0,415270019;0,350917431;299;358;7;9;0;-59
1999;NYJ;0,528599606;2762;1968;5,447731755;4,187234043;0;NA;0;NA;507;470;16;2;2;7,03786302;-42,31046891;0,013881387;-0,090022274;-1,639766762;-0,989363085;-0,003234254;-0,002105028;0,388560158;0,387234043;0,537162162;3669;1688;6,197635135;4,06746988;0;NA;0;0;592;415;23;6;5;-17,88734882;-26,25213701;-0,030215116;-0,063258161;-2,36388742;-0,452080834;-0,003993053;-0,001089351;0,425675676;0,356626506;308;309;8;8;0;-1
1999;PHI;0,450676983;2053;1745;3,97098646;4,276960784;0;NA;113;5.380952380952381;517;408;17;9;8;-139,0539087;-42,26875101;-0,268963073;-0,10359988;-5,102679797;-1,26738916;-0,009869787;-0,003106346;0,323017408;0,345588235;0,53577371;3461;1940;5,758735441;3,943089431;0;NA;102;6;601;492;28;10;7;-84,84136816;-44,57079038;-0,141167002;-0,090591037;-3,43138018;-1,399081356;-0,005709451;-0,002843661;0,415973378;0,37601626;272;357;5;11;0;-85
1999;PIT;0,524647887;2814;1990;4,954225352;4,180672269;0;NA;110;5.238095238095238;568;476;18;1;5;-59,19212653;-15,71334558;-0,10421149;-0,03301123;-2,619414333;-1,360774007;-0,004611645;-0,002858769;0,411971831;0,420168067;0,492929293;2903;1892;5,864646465;4,483412322;0;NA;94;4.2727272727272725;495;422;11;7;5;-32,3458041;-22,20784231;-0,065345059;-0,052625219;-0,769254847;-1,084713028;-0,00155405;-0,00257041;0,371717172;0,374407583;317;320;6;10;0;-3
1999;SEA;0,513513514;3386;1406;6,100900901;3,559493671;0;NA;0;NA;555;395;16;7;7;3,557100595;-87,49439945;0,00640919;-0,221504809;-1,129485346;-1,45855716;-0,002035109;-0,00369255;0,425225225;0,321518987;0,516393443;3417;1918;5,601639344;4,098290598;0;NA;1;0.33333333333333337;610;468;28;4;1;-61,25952997;-19,64617684;-0,100425459;-0,04197901;-1,719810851;-0,890443712;-0,002819362;-0,001902658;0,4;0,38034188;338;298;9;7;0;40
1999;SF;0,545918367;3259;2064;5,542517007;5,096296296;0;NA;103;5.722222222222223;588;405;18;6;4;-48,99101039;7,405263936;-0,083318045;0,018284602;-2,156803105;-0,190968387;-0,003668032;-0,000471527;0,404761905;0,437037037;0,580110497;4061;1619;7,478821363;3,92961165;0;NA;89;4.45;543;412;11;2;3;120,9517059;-47,03165568;0,222747156;-0,114154504;2,407592938;-1,515884186;0,004433873;-0,003679331;0,47145488;0,356796117;295;453;4;12;0;-158
1999;TB;0,548453608;2401;1794;4,950515464;3,698969072;0;NA;1;1;485;485;15;8;8;-64,83462448;-83,8142489;-0,133679638;-0,172812884;-3,32623908;-3,218081498;-0,006858225;-0,00663522;0,389690722;0,309278351;0,496688742;2844;1408;4,708609272;3,988668555;0;NA;0;NA;604;353;19;5;3;-118,928207;-34,70757443;-0,196901005;-0,098321741;-4,21218235;-1,583203241;-0,006973812;-0,004484995;0,347682119;0,373937677;270;235;11;5;0;35
1999;TEN;0,550458716;3452;1791;6,333944954;4,070454545;0;NA;32;2.666666666666667;545;440;12;5;4;23,83811468;-14,50086819;0,04373966;-0,032956519;0,999991217;-0,900355372;0,001834846;-0,002046262;0,423853211;0,381818182;0,504950495;3636;1539;6;4,104;0;NA;75;3;606;375;15;9;10;32,7568538;-71,41581672;0,054054214;-0,190442178;-1,539547451;-2,653024379;-0,002540507;-0,007074732;0,429042904;0,402666667;392;324;13;3;0;68
